قَالَ,to say
غَوَىٰ,"to err, to go astray"
يَغِيظُ,"to anger, to enrage"
ٱسْتَفْتَحُ,to seek victory
أَفْرِغْ,to pour
يَسْتَفِزَّ,"to incite, to scare, to drive out"
فَزِعَ,"to be terrified, to be afraid"
فَسَدَتِ,"to be corrupted, to be ruined"
ٱنفَضُّ,"to rush, to disperse"
فَاتَ,to escape
فَارَ,"to overflow, to gush forth, to boil up"
فَازَ,"to be successful, to attain"
فَآءُ,to return
أَفَآءَ,"to give, to restore"
تُقْسِطُ,to be just
قَسَتْ,to harden
كُبِتَ,to be disgraced
ٱسْتَكْثَرْ,"to multiply, to acquire more"
كَسَوْ,"to clothe, to cover"
يَكْفُلُ,"to take charge, to nurse, to rear"
كَنَزْ,to hoard
أَكْنَن,to conceal
كُوِّرَتْ,to wrap
يُلْحِدُ,"to deviate, to distort"
أَلْزَمَ,"to compel, to make adhere"
أَلْفَ,to find
تَلْقَفُ,to swallow
يُلَٰقُ,to they meet
يَلْمِزُ,"to criticize, to insult"
لُمْ,to blame
يَلْ,to distort
مَحَوْ,"to eliminate, to erase"
ٱمْسَحُ,to wipe
ٱسْتَمْسَكَ,"to grasp, to hold fast"
يُمِلَّ,to dictate
تَمَنَّىٰٓ,to wish
يُمْنَىٰ,to emit
تَمِيدَ,to shake
يَمِيلُ,"to deviate, to assult, to incline"
نَـَٔا,"to distance, to become remote, to keep away"
نُسِفَتْ,"to scatter, to blow away, to blast"
نُشِرَتْ,"to spread, to lay open"
أَنشَرَ,"to raise, to revive, to resurrect"
تَنتَشِرُ,to disperse
تَنفُذُ,to pass
تُنكِحُ,to marry
يُنكِرُ,to deny
ٱسْتَنكَفُ,to disdain
أَوْجَسَ,"to feel, to sense"
وَجِلَتْ,"to feel fear, to be afraid"
يُوزَعُ,to set in rows
وَّزَنُ,to weigh
يَطَـُٔ,"to step, to trod, to trample"
وُقِفُ,to make stand
يَلِجَ,"to penetrate, to pass"
تَيَمَّمُ,"to aim, to do tayammum"
ٱسْتَـْٔجَرْ,to hire
أَجَّلَ,to appoint
ءَاذَن,to announce
تَأَذَّنَ,"to announce, to declare"
يَأْتَمِرُ,to consult
تَبْتَئِسْ,to grieve
بَرَّأَ,"to absolve, to clear"
تُبْرِئُ,"to heal, to cure"
تَبَرُّ,"to be good, to be kind"
بُرِّزَتِ,to make manifest
أُبْسِلُ,to give up to destruction
بَٰشِرُ,to have relations
بَطَنَ,to be concealed
بُعْثِرَ,"to overturn, to scatter"
بَعُدَتْ,"to become distant, to take away"
يُبْلِىَ,to test
بُهِتَ,"to be bewildered, to be dumbfounded"
يَبُورُ,to perish
تَبَّ,to perish
تَبَّرْ,to destory
يُثْبِتُ,"to restrain, to confirm"
أَثْخَن,"to battle, to subdue"
أَثْمَرَ,to bear fruit
ٱجْلِدُ,to flog
تَجَلَّىٰ,to reveal
جَلَّىٰ,to reveal
ٱجْتَمَعُ,to gather
جَنَحُ,to incline
جَهَّزَ,to furnish
يُحْبَرُ,to delight
يَحْبِسُ,to detain
يُحَآدُّ,to oppose
حَآدَّ,to oppose
يُحَذِّرُ,to warn
حَارَبَ,to wage war
حَرِّضِ,"to urge, to encourage"
حَصِرَتْ,"to restrain, to besiege"
أُحْصِرُ,"to hold back, to wrap up"
يَحُضُّ,to feel the urge
ٱسْتَحَقَّ,"to be guilty, to have right"
يُحَكِّمُ,to make judge
أُحْكِمَتْ,"to perfect, to establish"
ٱسْتَحْوَذَ,"to overcome, to have advantage"
يُحَاوِرُ,to talk
أَخْبَتُ,to be humble
يَخْدَعُ,to deceive
يُخَٰدِعُ,to deceive
يُخْسِرُ,"to give less, to make deficient"
خَشَعَتِ,to become humble
يَخْتَصُّ,to choose
يَخْصِفَ,to fasten
أَخْطَأْ,"to err, to make mistake"
يَتَخَٰفَتُ,to murmur
يَخْلُدْ,to live forever
أَخْلَدَ,to adhere
أَخْلَصُ,"to choose, to be sincere"
يُخَالِفُ,"to oppose, to differ"
يَخْتَانُ,to deceive
يَتَخَيَّرُ,"to select, to choose"
يُدْحِضُ,to refute
نَسْتَدْرِجُ,to gradually lead
يَدُعُّ,"to thrust, to repulse"
دُكَّتِ,"to crush, to level"
أَدْلَىٰ,"to present, to let down"
دَنَا,"to approach, to draw"
يُدْهِنُ,to compromise
ذُلِّلَتْ,to tame
يُرَآءُ,to show off
تَرَآءَتِ,to come in sight
رَبَّيَ,to bring up
أَرْبَىٰ,"to increase, to make numerous"
رَتَّلْ,to recite
تَرْجُفُ,to quake
رَحُبَتْ,to be vast
تَرَٰضَ,to agree
رَعَ,"to pasture, to observe"
رَٰعِ,to observe
يَتَرَقَّبُ,to be vigilant
أَرْكَسَ,"to cast back, to plunge"
تَرْكَنُ,to incline
يُزْجِى,to drive
تَزْرَعُ,"to plant, to sow"
زَلَلْ,to slip
يَزْنُ,to commit adultery
أَزَاغَ,to deviate
يَسُبُّ,to insult
يَسْبَحُ,"to swim, to float"
يُسْحَبُ,to drag
سَخِطَ,"to anger, to enrage"
يَسْفِكُ,to shed
ٱسْتَسْقَىٰ,to ask for water
ٱنسَلَخَ,"to pass, to detach"
سَلَّطَ,to give power
أَسْلَفَتْ,"to do before, to send before"
ٱسْوَدَّتْ,to become black
شَرَعَ,to ordain
يُشْعِرُ,"to perceive, to be aware"
أَشْفَقْ,"to fear, to be afraid"
يَشْفِ,"to heal, to cure"
شَقَقْ,"to make difficult, to cleave"
ٱشْتَمَلَتْ,to contain
ٱسْتَشْهِدُ,to call to witness
تُصَٰحِبْ,to keep company
صَعِقَ,"to faint, to fall dead"
صَغَتْ,to incline
أَصْفَىٰ,to choose
صَلَبُ,to crucify
صَلَحَ,to be righteous
تَصْطَلُ,to warm
صَمُّ,to become deaf
يَصُمْ,to fast
ضَعُفَ,to weaken
ٱضْمُمْ,to draw (near)
طَلَعَت,to rise
يَطْمِثْ,to touch
يُطَاعُ,to obey
تَطَوَّعَ,to volunteer
يَطَّوَّفَ,"to walk, to circumambulate"
ظَلَّلْ,to shade
تَظَٰهَرُ,to support
عَبَسَ,to frown
يَعْرِشُ,"to erect, to construct"
عَرَّفَ,to make known
يَتَعَارَفُ,"to know, to recognize"
يَعْزُبُ,to escape
يَعْصِرُ,to press
عَضُّ,to bite
تَعْضُلُ,"to hinder, to constrain"
يُعَظِّمْ,to honor
يُعَقِّبْ,"to look back, to return"
يَتَعَلَّمُ,to learn
أَعَانَ,to help
تَعَاوَنُ,to help
عَيِي,to tire
يُغَادِرُ,to leave behind
غَرَبَت,to set
أَغْرَيْ,"to overpower, to arouse"
ٱسْتَغْشَ,to cover
ٱغْلُظْ,to be stern
تَغْلُو,to exceed
غَنِمْ,to take as war booty
غِيضَ,"to subside, to fall short"
يَفْجُرَ,to give lie
فَرَغْ,to finish
يَفْسَحِ,to make room
تَفْقِدُ,to miss
تَفِيضُ,to overflow
قَدِمْ,"to precede, to proceed"
تَقَدَّمَ,"to precede, to proceed"
قَسَمْ,to distribute
يَقْنُتْ,to be obedient
تَقَوَّلَ,"to fabricate, to make up"
قَيَّضْ,"to appoint, to destine"
يَتَكَبَّرُ,to be arrogant
كَثُرَ,"to be many, to be numerous"
أَكْثَرُ,"to be many, to be frequent"
كَرَّمْ,to honor
أَكْمَلْ,"to perfect, to complete"
كَالُ,to measure
ٱكْتَالُ,to measure
ٱسْتَكَانُ,"to give in, to submit"
لَّجُّ,to persist
يَلْحَقُ,to join
يَلْتَفِتْ,to look back
ٱلْتَقَطَ,to pick
لُمَّ,"to bring forward, to come"
يَلْهَثْ,to loll the tongue
لِن,"to deal gently, to relax"
يُمَحِّصَ,"to purify, to purge"
يَمْحَقُ,to destroy
ٱمْتَحَنَ,"to test, to examine"
مَرَجَ,to release
مُزِّقْ,"to disintegrate, to disperse"
يَتَمَآسَّ,to touch
يُمَنِّي,to arouse desire
مَهِّلِ,to give respite
تَمُورُ,"to shake, to sway"
يَمِيزَ,"to sepearte, to distinguish, to stand apart"
ٱنتَبَذَتْ,to withdraw
نَجَا,"to save, to escape"
يُنزَفُ,to be intoxicated
يَنسَخُ,"to abolish, to abrogate"
يَنسِلُ,"to descend, to hasten"
ٱنشُزُ,to rise
نُصِبَتْ,"to be fixed, to labour"
أَنصِتُ,"to listen, to play attention"
ٱسْتَنصَرَ,to seek help
أَنطَقَ,to make speak
نَافَقُ,to be hypocritical
نَكَصَ,to turn
تَنْهَرْ,to repel
يُهْرَعُ,"to rush, to hasten"
هَزَمُ,to defeat
أَهَٰنَ,to humiliate
يُهَيِّئْ,to facilitate
يَهِيجُ,"to wither, to dry"
وَجَّهْ,"to direct, to turn"
وَرَدَ,to come
تَوَارَتْ,to hide
أَوْزِعْ,to grant power
أَوْعَىٰٓ,"to hoard, to keep"
وُكِّلَ,"to entrust, to put in charge"
ٱسْتَيْـَٔسَ,"to despair, to give up hope"
تَيَسَّرَ,to be easy
ٱسْتَيْسَرَ,to obtain with ease
ٱسْتَيْقَنَتْ,"to be convinced, to be certain"
أَبَقَ,"to run away, to flee"
يُؤْثَرُ,"to transmit, to be related"
تَأْجُرَ,to work for recompense
آزَرَ,to strengthen
تَؤُزُّ,to incite
أَزِفَتِ,to approach
تَأْسِرُ,to take captive
ءَاسَفُ,to anger
أَلَتْ,to deprive
يَأْلُ,to spare
يُؤْلُ,"to swear, to vow"
يَأْتَلِ,to swear
ٱؤْتُمِنَ,to be entrusted
تَسْتَأْنِسُ,to ask permission
يَأْنِ,to come (time)
أَوِّبِ,to repeat
يَـُٔودُ,to tire
يُبَتِّكُ,to cut off
تَبَتَّلْ,to devote
ٱنۢبَجَسَتْ,"to gush, to flow"
يَبْحَثُ,"to search, to scratch"
ٱبْتَدَعُ,to innovate
تُبَذِّرْ,"to squander, to waste"
نَّبْرَأَ,to bring into existence
تَبَرَّجْ,to display
بَرِقَ,"to be dazzled, to be frightened"
أَبْرَمُ,"to determine, to conclude"
بَسَرَ,"to scowl, to frown"
بُسَّتِ,"to crumble, to crush"
تَبَسَّمَ,to smile
أَبْشِرُ,to receive glad tidings
يُبَصَّرُ,to be made to see
يُبَطِّئَ,to lag behind
بَطِرَتْ,to take lightly
بَطَلَ,to become futile
ٱنۢبَعَثَ,to send forth
بَٰعِدْ,to lengthen
تُبْقِى,"to spare, to remain"
أَبْكَىٰ,to make weep
يُبْلِسُ,to despair
ٱبْلَعِ,to swallow
نَبْتَهِلْ,to pray humbly
يَبِيتُ,to spend the night
تَبِيدَ,to be perished
تَبَايَعْ,to make commercial transaction
يُبِينُ,to explain
تَسْتَبِينَ,to make clear
أَتْقَنَ,to perfect
تَلَّ,to put down
يَتِيهُ,to wander
ٱثْبُتُ,to be firm
ثَبَّطَ,to make lag behind
أَثْقَلَت,to be heavy
ٱثَّاقَلْ,to be heavy
يَثْنُ,to fold up
يَسْتَثْنُ,to except
ثُوِّبَ,to reward
يُجْبَىٰٓ,"to bring, to gather"
ٱجْتُثَّتْ,to uproot
جَرَحْ,to commit
ٱجْتَرَحُ,to commit
يَجُرُّ,to drag
يَتَجَرَّعُ,to sip
جَزِعْ,"to show intolerance, to be perturbed"
نُجَٰزِىٓ,to recompense
تَجَسَّسُ,to spy
تَتَجَافَىٰ,to forsake
أَجْلِبْ,to raise
يَجْمَحُ,to run wild
ٱجْنُبْ,to keep away
يُجَنَّبُ,to remove from
يَتَجَنَّبُ,to avoid
جَنَّ,to cover
جَابُ,to carve
يُجَاوِرُ,to be neighbours
ٱسْتَجَارَ,to seek protection
نَتَجَاوَزُ,to overlook
جَاسُ,to enter
تَجُوعَ,to be hungry
حَبَّبَ,to endear
حَجَّ,"to perform pilgrimage, to argue"
يَتَحَآجُّ,to dispute
تَحْرُثُ,to sow
ٱحْتَرَقَتْ,to burn
تُحَرِّكْ,to move
تَحَرَّ,to seek
يَسْتَحْسِرُ,to tire
تَحُسُّ,"to inquire, to kill"
تَحَسَّسُ,to inquire
حَصْحَصَ,to become manifest
حَصَد,to reap
حُصِّلَ,to make apparent
تَحَٰٓضُّ,to feel the urge
يَحْطِمَ,to crush
ٱسْتُحْفِظُ,to be entrusted
حَفَفْ,to border
يُحْفِ,to press
يَتَحَاكَمُ,to judge
تَحْلِقُ,to shave
يُحْمَدُ,to praise
يُحْمَىٰ,to heat
تَحْنَثْ,to break oath
أَحْتَنِكَ,to destroy
يَحُورَ,to return
تَحِيدُ,to avoid
يَحِضْ,to menstruate
يَحِيفَ,to be unjust
خَبُثَ,to be bad
يَتَخَبَّطُ,to confound
خَبَتْ,to subside
يَخْذُلْ,to forsake
يُخْرِبُ,to destroy
نَخْزَىٰ,to be disgraced
ٱخْسَـُٔ,to be despised
تَخْضَعْ,to be soft
تَخُطُّ,to write
تُخَافِتْ,to be silent
خَلَصُ,to seclude
أَسْتَخْلِصْ,to select
خَلَطُ,to mix
تُخَالِطُ,to associate
ٱخْلَعْ,to remove
خُلِّفُ,to leave behind
يَتَخَلَّفُ,to remain behind
خَلُّ,to leave
تَخَلَّتْ,to become empty
يُخَيَّلُ,to seem
دَحَىٰ,to spread
ٱدَّٰرَْٰٔ,to dispute
يَدُسُّ,to bury
دَسَّىٰ,to bury
يُدَٰفِعُ,to defend
تَدَلَّىٰ,to come down
دَمْدَمَ,to destroy
يَدْمَغُ,to break
تَدُورُ,to revolve
تُدِيرُ,to carry out
نُدَاوِلُ,to alternate
يَدِينُ,to acknowledge
تَدَايَن,to contract
تَدَّخِرُ,to store
تَذْرُو,to scatter
ٱدَّكَرَ,to remember
ذَكَّيْ,to slaughter
نَّذِلَّ,to humiliate
تُذِلُّ,to humiliate
تَذْهَلُ,to forget
تَذُودَ,to keep back
أَذَاعُ,to spread
رَبِحَت,to profit
رَابِطُ,to be constant
يَرْتَعْ,to enjoy
رُجَّتِ,to shake
يَتَرَاجَعَ,to return
يَتَرَدَّدُ,to waver
رَدِفَ,to be close behind
تَرْدَىٰ,to perish
تَرَدَّىٰٓ,to fall
أَرْسَىٰ,to make
يَرْشُدُ,to be led aright
يُرْضِعْ,to suckle
تَسْتَرْضِعُ,to suckle
تَرْقَىٰ,to ascend
يَرْتَقُ,to ascend
رَكَّبَ,to assemble
يَرْكُمَ,to heap
تُرْهِبُ,to terrify
ٱسْتَرْهَبُ,to terrify
تُرِيحُ,to bring
رَانَ,to cover
ٱزْدُجِرَ,to repell
زُحْزِحَ,to draw away
تَزْدَرِىٓ,to look down
يَزِفُّ,to hasten
زَكَىٰ,to purify
يُزْلِقُ,to make slip
أَزَلَّ,to make slip
ٱسْتَزَلَّ,to make slip
تَزَوَّدُ,to take provision
زُرْ,to visit
تَّزَٰوَرُ,to incline away
زَيَّلْ,to seperate
تَزَيَّلُ,to be apart
ٱزَّيَّنَتْ,to beautify
يَسْبِتُ,to have Sabbath
أَسْبَغَ,to bestow
سَابِقُ,to race
تَسْتَتِرُ,to cover
يُسْجَرُ,to burn
سُجِّرَتْ,to overflow
سَجَىٰ,to cover with darkness
يُسْحِتَ,to destroy
يَسْتَسْخِرُ,to mock
أَسْخَطَ,to anger
تَسْرَحُ,to take out
تَسُرُّ,to please
ٱسْتَرَقَ,to steal
يَسْرِ,"to pass, to set out"
سُطِحَتْ,to spread out
يَسْطُرُ,to write
يَسْطُ,to attack
سُعِدُ,to be glad
سُعِّرَتْ,to set ablaze
أَسْفَرَ,to brighten
نَسْفَعًۢ,to drag
سَفِهَ,to fool
تُسَٰقِطْ,to drop
سَكَتَ,to calm
سُكِّرَتْ,to dazzle
يَسْلُبْ,to snatch away
نَسْلَخُ,to withdraw
سَلَقُ,to smite
يَتَسَلَّلُ,to slip away
يَسَّمَّعُ,to listen
يُسْمِنُ,to nourish
يَتَسَنَّهْ,to change with time
سَاهَمَ,to draw
تَسَوَّرُ,to climb over
يُسِيغُ,to swallow
تُسِيمُ,to pasture
تُسَوَّىٰ,to level
سَاوَىٰ,to level
سِيحُ,to move about
سَالَتْ,to flow
أَسَلْ,to cause flow
شُبِّهَ,to make appear
شَجَرَ,to arise
تَشْخَصُ,to stare
ٱشْتَدَّتْ,to blow furiously
أُشْرِبُ,to make drink
شَرِّدْ,to disperse
أَشْرَقَتِ,to shine
شَارِكْ,to be a partner
تُشْطِطْ,to be unjust
ٱشْتَعَلَ,to flare
شَغَفَ,to impassion
شَغَلَتْ,to keep busy
أَشْكُوا۟,to complain
تَشْتَكِىٓ,to complain
تُشْمِتْ,to rejoice
ٱشْمَأَزَّتْ,to shrink with aversion
شَاوِرْ,to consult
أَشَارَتْ,to point
يَشْوِى,to scald
تَشِيعَ,to spread
صَبَّحَ,to seize in the morning
صَابِرُ,to be patient
أَصْبُ,to incline
يُصْحَبُ,to protect
صُدُّ,to hinder
يَصْدُرُ,to proceed
يُصْدِرَ,to take away
ٱصْدَعْ,to proclaim
يُصَدَّعُ,to have headache
يَصَّدَّعُ,to be divided
تَصَدَّىٰ,to give attention
يَصْطَرِخُ,to cry
يَسْتَصْرِخُ,to cry for help
ٱنصَرَفُ,to turn away
يَصْرِمُ,to pluck
يَصْعَدُ,to ascend
تُصْعِدُ,to run uphill
يَصَّعَّدُ,to climb
تُصَعِّرْ,to turn
صَكَّتْ,to strike
صَلُّ,to burn
أَصَمَّ,to make deaf
ٱصْطَنَعْ,to choose
يُصْهَرُ,to melt
صُرْ,to incline
ٱصْطَادُ,to hunt
تَصِيرُ,to reach
أَضْحَكَ,to make laugh
تَضْحَىٰ,to expose
تَضَرَّعُ,to humble
يُضَٰهِـُٔ,to imitate
يُضَيِّفُ,to offer hospitality
تُضَيِّقُ,to distress
طَحَىٰ,to spread
ٱطْرَحُ,to cast
ٱسْتَطْعَمَ,to ask for food
طَعَنُ,to defame
أَطْغَيْ,to make transgress
يَطْلُبُ,to seek
يُطْلِعَ,to inform
يَطْهُرْ,to purify
طَوَّعَتْ,to prompt
يُطَوَّقُ,to encircle the neck
يُطِيقُ,to afford
تَطَاوَلَ,to prolong
نَطْوِى,to fold
يَطِيرُ,to fly
أَظْفَرَ,to give victory
أَظْلَمَ,to darken
تَظْمَؤُا۟,to suffer from thirst
يَعْبَؤُا۟,to care
تَعْبَثُ,to be amused
عَبَّد,to enslave
تَعْبُرُ,to interpret
ٱعْتَبِرُ,to learn a lesson
ٱعْتِلُ,to drag
عُثِرَ,to discover
أَعْثَرْ,to make known
عَجَزْ,to be unable
أَعْجَلَ,to make hasten
تَعَجَّلَ,to hurry
عَدَّدَ,to count
تَعْتَدُّ,to count
عَادَيْ,to be enemies
عَرَّضْ,to hint
ٱعْتَرَىٰ,to seize
تَعْرَىٰ,to unclothe
عَزَّ,to overpower
عَزَّزْ,to strengthen
تُعِزُّ,to honor
عَزَلْ,to set aside
تَعَاسَرْ,to disagree
عَسْعَسَ,to depart
عَاشِرُ,to live
يَعْشُ,to turn away
ٱسْتَعْصَمَ,to save
عُطِّلَتْ,to leave untended
تَعَاطَىٰ,to take
يُعْظِمْ,to make great
أَعْقَبَ,to penalize
عَقَدَتْ,to pledge
عَقَّد,to contract
يَعْكُفُ,to devote
ٱسْتَعْلَىٰ,to overcome
تَعَمَّدَتْ,to intend
ٱعْتَمَرَ,to perform Umrah
ٱسْتَعْمَرَ,to settle
عُمِّيَتْ,to obscure
أَعْنَتَ,to put into difficulty
عَنَتِ,to be humbled
أُعِيذُ,to seek refuge
تَعُولُ,to oppress
أَعِيبَ,to cause defect
ٱغْتَرَفَ,to take
ٱغْسِلُ,to wash
تَغْتَسِلُ,to bathe
تَغَشَّىٰ,to cover
أَغْطَشَ,to darken
تَغْفُلُ,to neglect
أَغْفَلْ,to make heedless
ٱسْتَغْلَظَ,to become thick
غَلَّقَتِ,to close
يَغْلِى,to boil
يَتَغَامَزُ,to wink
تُغْمِضُ,to close
يُغَاثُ,to be relieved
يَغُوصُ,to dive
يَغْتَب,to backbite
يُغَاثُ,to be given rain
يَتَغَيَّرْ,to change
تَفْتَؤُا۟,to cease
تُفَتَّحُ,to open
يَفْتُرُ,to invent
يُفَتَّرُ,to subside
فَتَقْ,to part
يَتَفَجَّرُ,to gush forth
ٱنفَجَرَتْ,to gush forth
فَدَيْ,to ransom
تُفَٰدُ,to ransom
فُرِجَتْ,to be cleft asunder
فَرَشْ,to spread
يَفْرُطَ,to hasten
فَارِقُ,to part
يَفْتَرِي,to invent
فُزِّعَ,to remove fear
تَفَسَّحُ,to make room
تَفْضَحُ,to shame
يَتَفَضَّلَ,to assert superiority
أَفْضَىٰ,to go
ٱنفَطَرَتْ,to be cleft asunder
تَفَقَّدَ,to inspect
يَتَفَقَّهُ,to obtain understanding
فَكَّرَ,to think
تَفَكَّهُ,to wonder
ٱنفَلَقَ,to part
تُفَنِّدُ,to weaken in mind
فَهَّمْ,to give understanding
أُفَوِّضُ,to entrust
أَفَاقَ,to recover
يَتَفَيَّؤُا۟,to incline
أَقْبَرَ,to provide a grave
نَقْتَبِسْ,to acquire
يَقْتُرُ,to be stingy
ٱقْتَحَمَ,to attempt
نُقَدِّسُ,to sanctify
ٱقْتَدِهْ,to follow
نُقْرِئُ,to make recite
ٱسْتَقَرَّ,to remain
تَّقْرِضُ,to pass
قَاسَمَ,to swear
تَقَاسَمُ,to distribute
تَسْتَقْسِمُ,to seek division
تَقْشَعِرُّ,to shiver
ٱقْصِدْ,to be moderate
تَقْصُرُ,to shorten
يُقْصِرُ,to cease
قَصَمْ,to shatter
يَنقَضَّ,to collapse
تَقْفُ,to pursue
تُقْلَبُ,to return
تَتَقَلَّبُ,to turn around
أَقْلِعِ,to withhold
قَلَّ,to be little
يُقَلِّلُ,to make few
أَقَلَّتْ,to carry
قَلَىٰ,to be displeased
تَقْهَرْ,to oppress
كُبَّتْ,to cast
أَكْبَرْ,to admire greatly
كُبْكِبُ,to overturn
كَاتِبُ,to give writing
ٱكْتَتَبَ,to write
كَثَّرَ,to increase
ٱنكَدَرَتْ,to fall and lose luster
أَكْدَىٰٓ,to withhold
كَرَّهَ,to make hateful
كُشِطَتْ,to strip away
أَكْفَرَ,"to be ngrateful, to deny"
كَفَّلَ,to put in care
أَكْفِلْ,to entrust
يَكْلَؤُ,to protect
تُكْوَىٰ,to brand
تَلَذُّ,to delight
يَتَلَطَّفْ,to be cautious
تَلَظَّىٰ,to blaze
ٱلْغَ,to make noise
تَلْفِتَ,to turn away
تَلْفَحُ,to burn
يَلْفِظُ,to utter
ٱلْتَفَّتِ,to wind
ٱلْتَقَمَ,to swallow
ٱلْتَمِسُ,to seek
أَلْهَمَ,to inspire
تَلَهَّىٰ,"to distract, to divert"
لَاتَ,to not be
يَتَلَٰوَمُ,to blame
لَوَّ,to turn aside
يَلِتْ,to deprive
أَلَ,to make pliable
تَمَثَّلَ,to assume a likeness
تَمْرَحُ,to be insolent
مَرَدُ,to persist
مَرِضْ,to be ill
تُمَارِ,to argue
مَسَخْ,to transform
يُمَسِّكُ,to hold fast
تُمْسُ,to reach evening
يَتَمَطَّىٰٓ,to swagger
أَمْكَنَ,to give power
ٱمْتَلَأْ,to fill
يَمْهَدُ,to prepare
مَهَّد,to spread
أَمْهِلْ,to give respite
يَمُوجُ,to surge
نَمِيرُ,to get provision
تَمَيَّزُ,to burst
ٱمْتَٰزُ,to stand apart
يَسْتَنۢبِـُٔ,to ask to inform
تَنۢبُتُ,to produce
تَنَابَزُ,to call
يَسْتَنۢبِطُ,to draw correct conclusion
نَتَقْ,to raise
ٱنتَثَرَتْ,to scatter
نَٰجَيْ,to consult privately
ٱنْحَرْ,to sacrifice
تَنَادَ,to call
يُنَٰزِعُ,to dispute
نَسْتَنسِخُ,to transcribe
يُنَشَّؤُا۟,to bring up
نُنشِزُ,to raise
تَنَاصَرُ,to help
نَضِجَتْ,to roast
يَنْعِقُ,to shout
نَعَّمَ,to favor
يُنْغِضُ,to shake
تَنَفَّسَ,to breathe
يَتَنَافَسِ,to aspire
نَفَشَتْ,to pasture
يُنفَ,to exile
نَقَّبُ,to explore
يَسْتَنقِذُ,to take back
نُقِرَ,to blow
أَنقَضَ,to weigh
يَسْتَنكِحَ,to marry
نَكِرَ,to feel unfamiliar
نَكِّرُ,to disguise
نُكِسُ,to turn
نُنَكِّسْ,to reverse
يَتَنَاهَ,to forbid
تَنُوٓأُ,to burden
تَهَجَّدْ,to arise from sleep for prayer
يَهْجَعُ,to sleep
هُدِّمَتْ,to demolish
هُزِّ,to shake
أَهُشُّ,to bring down leaves
أَهَمَّتْ,to worry
ٱنْهَارَ,to collapse
ٱسْتَهْوَتْ,to entice
هَيْتَ,to Come on
يَهِيمُ,to roam
يُوبِقْ,to destroy
يَتِرَ,to deprive
وَاثَقَ,to bound
يُوثِقُ,to bind
وَجَبَتْ,to be down
أَوْجَفْ,to make expedition
تَوَجَّهَ,to turn
دَعْ,to disregard
وَدَّعَ,to forsake
أَوْرَدَ,to lead
تُورُ,to ignite
وَسَطْ,to penetrate the center
وَسَقَ,to envelops
ٱتَّسَقَ,to be full
نَسِمُ,to brand
وَصَّلْ,to convey
يُوصِي,to make
أَوْضَعُ,to be active
يُوَاطِـُٔ,to adjust
تُوعِدُ,to threaten
تَوَاعَد,to make an appointment
تَعِيَ,to be conscious
يُوفِضُ,to hasten
يُوَفِّقِ,to cause reconciliation
يَسْتَوْفُ,to take in full
وَقَبَ,to spread
أُقِّتَتْ,to be gathered to an appointed time
ٱسْتَوْقَدَ,to kindle
تُوَقِّرُ,to respect
يُوقِعَ,to cause
أَتَوَكَّؤُا۟,to lean
يَتَّكِـُٔ,to recline
وَكَزَ,to strike
يَلُ,to be close
تَنِيَ,to slacken
